% Service logfile
% 1 	Time (sec)
% 2 	Message
1738769069.1018 Setup finished OK=1
1738769199.8490 Log command: robobot/cmd/ti/log 1
1738769201.2837 Log command: robobot/cmd/ti/log 0
1738769211.4091 Log command: robobot/cmd/ti/log 1
1738769212.4896 new Master: (0) 2025-02-05 16:26:51.405734
1738769226.1227 Log command: robobot/cmd/ti/log 0
1738769071.5877 Lost Master, alive since 2025-02-05 16:26:51.405734
1738769251.4997 Mixer order: robobot/cmd/ti/rc 0.250 -0.154 1738769251.499613
1738769251.5094 Mixer order: robobot/cmd/ti/rc 0.250 -0.144 1738769251.5093534
1738769251.5195 Mixer order: robobot/cmd/ti/rc 0.250 -0.135 1738769251.519325
1738769251.5292 Mixer order: robobot/cmd/ti/rc 0.250 -0.126 1738769251.5291042
1738769251.5392 Mixer order: robobot/cmd/ti/rc 0.250 -0.118 1738769251.53902
1738769251.5495 Mixer order: robobot/cmd/ti/rc 0.250 -0.111 1738769251.5492532
1738769251.5598 Mixer order: robobot/cmd/ti/rc 0.250 -0.103 1738769251.5597174
1738769251.5696 Mixer order: robobot/cmd/ti/rc 0.250 -0.097 1738769251.5695612
1738769251.5796 Mixer order: robobot/cmd/ti/rc 0.250 -0.090 1738769251.5794384
1738769251.5894 Mixer order: robobot/cmd/ti/rc 0.250 -0.085 1738769251.589319
1738769251.5992 Mixer order: robobot/cmd/ti/rc 0.250 -0.079 1738769251.5991092
1738769251.6092 Mixer order: robobot/cmd/ti/rc 0.250 -0.074 1738769251.6090832
1738769251.6189 Mixer order: robobot/cmd/ti/rc 0.250 -0.069 1738769251.6188867
1738769251.6302 Mixer order: robobot/cmd/ti/rc 0.250 -0.065 1738769251.6300328
1738769251.6403 Mixer order: robobot/cmd/ti/rc 0.250 -0.061 1738769251.6400976
1738769251.6499 Mixer order: robobot/cmd/ti/rc 0.250 -0.057 1738769251.6497843
1738769251.6598 Mixer order: robobot/cmd/ti/rc 0.250 -0.053 1738769251.6596472
1738769251.6660 Mixer order: robobot/cmd/ti/rc 0.1 0.5
1738769254.8604 Mixer order: robobot/cmd/ti/rc 0 0
1738769256.0607 Mixer order: robobot/cmd/ti/rc 0 0
1738769256.1315 Log command: robobot/cmd/ti/log 0
1738769071.5877 Lost Master, alive since 2025-02-05 16:27:12.535047
1738769295.0338 Shutdown: robobot/cmd/shutdown 1738769295.0336 GPIO button
1738769295.0338 Got power off from (teensy 0) 1738769295.0336 GPIO button
1738769295.0338 send power off to teensy
1738769298.2055 All terminated; closing logfile
