% Service logfile
% 1 	Time (sec)
% 2 	Message
1740753059.0092 Setup finished OK=1
1740756545.4555 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4553702
1740756545.4653 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.465204
1740756545.4758 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4755719
1740756545.4855 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4854367
1740756545.4954 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.4953048
1740756545.5054 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.505276
1740756545.5153 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5152516
1740756545.5253 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5252063
1740756545.5352 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5350847
1740756545.5452 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5451503
1740756545.5550 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5548675
1740756545.5649 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5648263
1740756545.5761 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5759206
1740756545.5859 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5857146
1740756545.5959 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.5957036
1740756545.6058 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6056836
1740756545.6156 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6154778
1740756545.6256 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6254542
1740756545.6361 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6356516
1740756545.6462 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6456647
1740756545.6554 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6552083
1740756545.6654 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6653397
1740756545.6754 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.675287
1740756545.6853 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.685196
1740756545.6953 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.6951368
1740756545.7052 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.7050567
1740756545.7151 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.715005
1740756545.7250 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.7248812
1740756545.7359 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.7357886
1740756545.7460 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.745779
1740756545.7559 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.7557642
1740756545.7657 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.765575
1740756545.7756 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.775468
1740756545.7857 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.785548
1740756545.7957 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.7956154
1740756545.8055 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.805338
1740756545.8155 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8152907
1740756545.8253 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8251183
1740756545.8360 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8356855
1740756545.8460 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8458023
1740756545.8558 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8557029
1740756545.8658 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8655891
1740756545.8758 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8755717
1740756545.8855 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8853743
1740756545.8955 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.8952904
1740756545.9053 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9051332
1740756545.9150 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9149594
1740756545.9261 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.92589
1740756545.9359 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9357886
1740756545.9456 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9455314
1740756545.9557 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9554713
1740756545.9655 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.9653442
1740756545.9753 Mixer order: robobot/cmd/ti/rc 0.250 0.000 1740756545.975183
