% Motor voltage for all motors
% 1 	Time (sec)
% 2-3 	Voltage to motor (to Teensy) 1,2 (Volt)
% 4-5 	Voltage to motor (from Teensy) 1,2 (Volt)
% 6-7 	PWM to motor (+/- 2096) (from Teensy) 1,2
% 8 	Relax motor controller (standing still for some time)
1740133744.0436 0.68 2.01 0.68 2.00 0 0 0
1740133744.0514 0.75 2.07 0.68 2.00 0 0 0
1740133744.0677 0.73 1.98 0.68 2.00 0 0 0
1740133744.0687 0.73 1.98 0.75 2.10 0 0 0
1740133744.0821 0.71 2.01 0.75 2.10 0 0 0
1740133744.0929 0.71 2.01 0.71 2.00 0 0 0
1740133744.0970 0.76 2.06 0.71 2.00 0 0 0
1740133744.1122 0.77 2.01 0.71 2.00 0 0 0
1740133744.1179 0.77 2.01 0.77 2.00 0 0 0
1740133744.1274 0.62 2.06 0.77 2.00 0 0 0
1740133744.1412 0.67 2.05 0.77 2.00 0 0 0
1740133744.1429 0.67 2.05 0.67 2.00 0 0 0
1740133744.1573 0.82 2.05 0.67 2.00 0 0 0
1740133744.1678 0.82 2.05 0.82 2.00 0 0 0
1740133744.1717 0.69 2.01 0.82 2.00 0 0 0
1740133744.1868 0.73 2.05 0.82 2.00 0 0 0
1740133744.1929 0.73 2.05 0.73 2.00 0 0 0
1740133744.2032 0.74 2.03 0.73 2.00 0 0 0
1740133744.2167 0.70 2.00 0.73 2.00 0 0 0
1740133744.2181 0.70 2.00 0.70 2.00 0 0 0
1740133744.2312 0.75 2.03 0.70 2.00 0 0 0
1740133744.2430 0.75 2.03 0.75 2.00 0 0 0
1740133744.2478 0.79 1.99 0.75 2.00 0 0 0
1740133744.2623 0.76 2.04 0.75 2.00 0 0 0
1740133744.2681 0.76 2.04 0.76 2.00 0 0 0
1740133744.2773 0.75 2.00 0.76 2.00 0 0 0
1740133744.2923 0.79 2.03 0.76 2.00 0 0 0
1740133744.2931 0.79 2.03 0.79 2.00 0 0 0
1740133744.3067 0.73 1.95 0.79 2.00 0 0 0
1740133744.3180 0.73 1.95 0.73 2.00 0 0 0
1740133744.3222 0.70 1.95 0.73 2.00 0 0 0
1740133744.3368 0.80 1.95 0.73 2.00 0 0 0
1740133744.3433 0.80 1.95 0.80 2.00 0 0 0
1740133744.3519 0.75 1.91 0.80 2.00 0 0 0
1740133744.3667 0.75 1.94 0.80 2.00 0 0 0
1740133744.3684 0.75 1.94 0.75 1.90 0 0 0
1740133744.3816 0.76 1.96 0.75 1.90 0 0 0
1740133744.3933 0.76 1.96 0.76 2.00 0 0 0
1740133744.3977 0.72 1.97 0.76 2.00 0 0 0
1740133744.4127 0.74 1.97 0.76 2.00 0 0 0
1740133744.4184 0.74 1.97 0.74 2.00 0 0 0
1740133744.4271 0.80 2.01 0.74 2.00 0 0 0
1740133744.4421 0.78 1.95 0.74 2.00 0 0 0
1740133744.4435 0.78 1.95 0.78 2.00 0 0 0
1740133744.4571 0.75 1.98 0.78 2.00 0 0 0
1740133744.4685 0.75 1.98 0.75 2.00 0 0 0
1740133744.4727 0.78 2.00 0.75 2.00 0 0 0
1740133744.4865 0.77 1.99 0.75 2.00 0 0 0
1740133744.4937 0.77 1.99 0.77 2.00 0 0 0
1740133744.5021 0.69 2.00 0.77 2.00 0 0 0
1740133744.5173 0.78 1.96 0.77 2.00 0 0 0
1740133744.5186 0.78 1.96 0.78 2.00 0 0 0
1740133744.5319 0.80 1.99 0.78 2.00 0 0 0
1740133744.5438 0.80 1.99 0.80 2.00 0 0 0
1740133744.5468 0.76 1.93 0.80 2.00 0 0 0
1740133744.5617 0.77 1.95 0.80 2.00 0 0 0
1740133744.5682 0.77 1.95 0.77 2.00 0 0 0
1740133744.5778 0.72 1.95 0.77 2.00 0 0 0
1740133744.5917 0.74 1.95 0.77 2.00 0 0 0
1740133744.5932 0.74 1.95 0.74 2.00 0 0 0
1740133744.6063 0.80 1.97 0.74 2.00 0 0 0
1740133744.6182 0.80 1.97 0.80 2.00 0 0 0
1740133744.6224 0.80 1.95 0.80 2.00 0 0 0
1740133744.6368 0.77 1.98 0.80 2.00 0 0 0
1740133744.6432 0.77 1.98 0.77 2.00 0 0 0
1740133744.6518 0.76 1.98 0.77 2.00 0 0 0
1740133744.6668 0.78 2.02 0.77 2.00 0 0 0
1740133744.6683 0.78 2.02 0.78 2.00 0 0 0
1740133744.6822 0.72 1.99 0.78 2.00 0 0 0
1740133744.6934 0.72 1.99 0.72 2.00 0 0 0
1740133744.6973 0.76 1.99 0.72 2.00 0 0 0
1740133744.7120 0.81 1.96 0.72 2.00 0 0 0
1740133744.7182 0.81 1.96 0.81 2.00 0 0 0
1740133744.7267 0.79 1.98 0.81 2.00 0 0 0
1740133744.7425 0.83 2.00 0.81 2.00 0 0 0
1740133744.7438 0.83 2.00 0.83 2.00 0 0 0
1740133744.7575 0.76 1.95 0.83 2.00 0 0 0
1740133744.7680 0.76 1.95 0.76 2.00 0 0 0
1740133744.7725 0.68 1.94 0.76 2.00 0 0 0
1740133744.7869 0.75 1.91 0.76 2.00 0 0 0
1740133744.7931 0.75 1.91 0.75 1.90 0 0 0
1740133744.8031 0.85 1.97 0.75 1.90 0 0 0
1740133744.8164 0.90 1.94 0.75 1.90 0 0 0
1740133744.8182 0.90 1.94 0.90 1.90 0 0 0
