% mqtt logfile, enabled=true
% broker=tcp://localhost:1883
% context=drive
% client id=tif_in
% system=robobot/ (top level ID)
% function=drive/ (next level name)
% 1 	Time (sec)
% 2 	Quality of service 0=max once, 1=at least once, 2=once, S=subscribe
% 3 	'Topic'
% 4 	Message / payload
1740133742.7732 0 drive robobot/cmd/ti/log 1
1740133743.0677 0 drive robobot/cmd/T0/enc0  
1740133743.0679 0 drive robobot/cmd/T0/confw 0.075 0.075 19 68 0.23
1740133743.0681 0 drive robobot/cmd/T0/encrev 1
1740133743.0682 0 drive robobot/cmd/T0/confi  
1740133743.3596 0 drive robobot/cmd/T0/lip 1
1740133743.3800 0 drive robobot/cmd/T0/liwi  
1740133744.3149 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3147416
1740133744.3230 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3228645
1740133744.3328 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3327634
1740133744.3434 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3432024
1740133744.3535 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3533816
1740133744.3635 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3633313
1740133744.3731 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3730252
1740133744.3827 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3826528
1740133744.3938 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.3936937
1740133744.4035 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4034023
1740133744.4132 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4131634
1740133744.4233 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4231703
1740133744.4339 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4338477
1740133744.4439 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4438193
1740133744.4536 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4535127
1740133744.4632 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4631195
1740133744.4732 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4731202
1740133744.4831 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4830055
1740133744.4939 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.4937966
1740133744.5041 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.50394
1740133744.5143 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.5141387
1740133744.5238 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.5235949
1740133744.5334 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.5332897
1740133744.5430 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.54299
1740133744.5534 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.5532768
1740133744.5631 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.563031
1740133744.5739 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.5738032
1740133744.5838 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.5836651
1740133744.5934 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.5933757
1740133744.6035 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6033485
1740133744.6141 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.614025
1740133744.6239 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6237783
1740133744.6294 0 drive robobot/cmd/ti/alive 2025-02-21 11:29:02.769003
1740133744.6338 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6337242
1740133744.6435 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6434343
1740133744.6534 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6533093
1740133744.6633 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6632195
1740133744.6740 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6739528
1740133744.6840 0 drive robobot/cmd/ti/rc 0.250 1.000 1740133744.6838722
